Time,RawValue1,RawValue2
2769.246047461,416,5280
2769.247560966,416,5264
2769.249074545,416,5264
2769.25058342,432,5232
2769.252097925,400,5248
2769.253624097,400,5264
2769.255144046,400,5248
2769.256664385,416,5264
2769.258189445,400,5232
2769.259713802,400,5264
2769.261243252,416,5232
2769.262763034,400,5248
2769.264282984,400,5248
2769.265806415,432,5248
2769.267326198,400,5264
2769.268848906,400,5232
2769.27036993,432,5248
2769.27188849,416,5264
2769.273408514,400,5248
2769.274926667,368,5248
2769.276444117,416,5248
2769.277961918,400,5264
2769.27949309,400,5264
2769.281014595,400,5280
2769.282536303,416,5264
2769.284055475,400,5264
2769.285574369,400,5264
2769.287091856,416,5248
2769.288609768,416,5264
2769.290132717,400,5248
2769.29165113,416,5248
2769.293170172,384,5264
2769.294689936,432,5264
2769.296208275,448,5280
2769.297729483,400,5264
2769.299254785,448,5248
2769.300780827,432,5280
2769.302300758,416,5280
2769.303819374,432,5264
2769.305344657,416,5280
2769.306863236,416,5280
2769.308382778,416,5264
2769.309905283,400,5264
2769.311427992,448,5264
2769.312948015,416,5280
2769.314468372,400,5264
2769.315986636,416,5280
2769.317510363,416,5264
2769.319032628,416,5280
2769.320552966,432,5264
2769.322075805,416,5280
2769.323594161,416,5264
2769.325119,432,5280
2769.326667653,416,5280
2769.328205436,464,5280
2769.329735496,448,5264
2769.331262779,416,5264
2769.332798062,416,5280
2769.334328438,416,5264
2769.335850998,400,5296
2769.3373858,416,5264
2769.338944434,416,5264
2769.340484902,416,5280
2769.342012593,432,5264
2769.343549172,416,5248
2769.345081195,432,5264
2769.346610534,400,5280
2769.348160576,416,5248
2769.349694303,400,5248
2769.351223197,416,5280
2769.352752813,384,5248
2769.354282244,416,5280
2769.355808916,416,5216
2769.357335236,416,5248
2769.358867389,384,5264
2769.36039445,400,5248
2769.361916807,400,5232
2769.363442108,400,5248
2769.364975872,400,5264
2769.366502192,400,5248
2769.368038068,400,5280
2769.36956035,384,5264
2769.371085281,416,5232
2769.372610842,400,5264
2769.37413968,384,5232
2769.375665963,416,5248
2769.377194727,416,5264
2769.378723121,400,5248
2769.380250608,432,5248
2769.381781798,400,5264
