Time,PulseCounts1,PulseCounts2
7605.137789778,0.0,0.0
7605.197782975,0.0,0.0
7605.247791316,0.0,0.0
7605.307797791,0.0,0.0
7605.367798784,0.0,0.0
7605.417801439,0.0,0.0
7605.477805155,0.0,0.0
7605.52781631,0.0,0.0
7605.587803304,0.0,0.0
7605.637810237,0.0,0.0
7605.687810577,0.0,0.0
7605.737811436,0.0,0.0
7605.78781535,0.0,0.0
7605.847819677,0.0,0.0
7605.907826282,0.0,0.0
7605.967825535,0.0,0.0
7606.017838449,0.0,0.0
7606.077826109,0.0,0.0
7606.127839061,0.0,0.0
7606.187832073,0.0,0.0
7606.237836024,0.0,0.0
7606.28783955,0.0,0.0
7606.337839964,0.0,0.0
7606.38784023,0.0,0.0
7606.437849904,0.0,0.0
7606.497844675,0.0,0.0
7606.547849108,0.0,0.0
7606.597854189,0.0,0.0
7606.647855493,0.0,0.0
7606.707866597,0.0,0.0
7606.767860943,0.0,0.0
7606.817866079,0.0,0.0
7606.877862332,0.0,0.0
7606.927869654,0.0,0.0
7606.987868851,0.0,0.0
7607.037872747,0.0,0.0
7607.087876847,0.0,0.0
7607.147877285,0.0,0.0
7607.197877921,0.0,0.0
7607.247886132,0.0,0.0
7607.307891329,0.0,0.0
7607.367883878,0.0,0.0
7607.417893034,0.0,0.0
7607.477892083,0.0,0.0
7607.527893738,0.0,0.0
7607.577898152,0.0,0.0
7607.627899715,0.0,0.0
7607.68790019,0.0,0.0
7607.737907049,0.0,0.0
7607.797906264,0.0,0.0
7607.847911846,0.0,0.0
7607.897912167,0.0,0.0
7607.947919415,0.0,0.0
7608.007922798,0.0,0.0
7608.057924101,0.0,0.0
7608.107932293,0.0,0.0
7608.167925527,0.0,0.0
7608.217933608,0.0,0.0
7608.277930028,0.0,0.0
7608.327935776,0.0,0.0
7608.377936431,0.0,0.0
7608.42794366,0.0,0.0
7608.487938542,0.0,0.0
7608.53794316,0.0,0.0
7608.587944945,0.0,0.0
7608.637948434,0.0,0.0
7608.6879517,0.0,0.0
7608.737952411,0.0,0.0
7608.797951978,0.0,0.0
7608.847963374,0.0,0.0
7608.907968034,0.0,0.0
7608.967962658,0.0,0.0
7609.017973405,0.0,0.0
7609.077967343,0.0,0.0
7609.127978702,0.0,0.0
7609.187971399,0.0,0.0
7609.237973129,0.0,0.0
7609.28797521,0.0,0.0
7609.337979402,0.0,0.0
7609.387981038,0.0,0.0
7609.437981045,0.0,0.0
7609.487989812,0.0,0.0
7609.547986805,0.0,0.0
7609.597988905,0.0,0.0
7609.647995967,0.0,0.0
7609.707995368,0.0,0.0
7609.757998764,0.0,0.0
7609.808013419,0.0,0.0
7609.868012394,0.0,0.0
7609.928020869,0.0,0.0
7609.988018937,0.0,0.0
7610.048015171,0.0,0.0
7610.098016938,0.0,0.0
7610.148019796,0.0,0.0
7610.208024771,0.0,0.0
7610.268026228,0.0,0.0
7610.328030666,0.0,0.0
7610.388034067,0.0,0.0
7610.438034148,0.0,0.0
7610.48804334,0.0,0.0
7610.548045389,0.0,0.0
7610.608044012,0.0,0.0
7610.668044358,0.0,0.0
7610.72804737,0.0,0.0
7610.788048364,0.0,0.0
7610.838048371,0.0,0.0
7610.888049989,0.0,0.0
7610.938054125,0.0,0.0
7610.988058058,0.0,0.0
7611.0480562,0.0,0.0
7611.098062466,0.0,0.0
7611.148064658,0.0,0.0
7611.198065165,0.0,0.0
7611.248070709,0.0,0.0
7611.308072147,0.0,0.0
7611.36807177,0.0,0.0
7611.418076703,0.0,0.0
7611.468080858,0.0,0.0
7611.528083778,0.0,0.0
7611.578084155,0.0,0.0
7611.62809044,0.0,0.0
7611.688087693,0.0,0.0
7611.738091644,0.0,0.0
7611.788095244,0.0,0.0
7611.8480962,0.0,0.0
7611.898098263,0.0,0.0
7611.948104159,0.0,0.0
7612.008107208,0.0,0.0
7612.068105072,0.0,0.0
7612.118110708,0.0,0.0
7612.178113443,0.0,0.0
7612.238112566,0.0,0.0
7612.288120943,0.0,0.0
7612.348121029,0.0,0.0
7612.398121629,0.0,0.0
7612.448127062,0.0,0.0
7612.498128624,0.0,0.0
7612.558127618,0.0,0.0
7612.608134681,0.0,0.0
7612.65813578,0.0,0.0
7612.708135861,0.0,0.0
7612.758139961,0.0,0.0
7612.818145491,0.0,0.0
7612.878142837,0.0,0.0
7612.928149029,0.0,0.0
7612.978152388,0.0,0.0
7613.038150437,0.0,0.0
7613.088157555,0.0,0.0
7613.138159543,0.0,0.0
7613.198157167,0.0,0.0
7613.24816434,0.0,0.0
7613.298167477,0.0,0.0
7613.358165082,0.0,0.0
7613.408171607,0.0,0.0
7613.458175188,0.0,0.0
7613.518172459,0.0,0.0
7613.568179744,0.0,0.0
7613.618182751,0.0,0.0
7613.678179245,0.0,0.0
7613.728186215,0.0,0.0
7613.778189314,0.0,0.0
7613.838187715,0.0,0.0
7613.888195074,0.0,0.0
7613.93819647,0.0,0.0
7613.998193704,0.0,0.0
7614.048201896,0.0,0.0
7614.098206607,0.0,0.0
7614.158204675,0.0,0.0
7614.208208145,0.0,0.0
7614.258212652,0.0,0.0
7614.318214238,0.0,0.0
7614.368216578,0.0,0.0
7614.418219381,0.0,0.0
7614.478218338,0.0,0.0
7614.528222289,0.0,0.0
7614.5782255,0.0,0.0
7614.638225494,0.0,0.0
7614.688232056,0.0,0.0
7614.738237082,0.0,0.0
7614.798234353,0.0,0.0
7614.848238434,0.0,0.0
7614.898241811,0.0,0.0
7614.958241453,0.0,0.0
7615.008245645,0.0,0.0
7615.058248819,0.0,0.0
7615.118248849,0.0,0.0
7615.168257597,0.0,0.0
7615.228254276,0.0,0.0
7615.278256524,0.0,0.0
7615.328261901,0.0,0.0
7615.378263908,0.0,0.0
7615.438262605,0.0,0.0
7615.488270334,0.0,0.0
7615.548269772,0.0,0.0
7615.598271076,0.0,0.0
7615.648277842,0.0,0.0
7615.708277113,0.0,0.0
7615.758278102,0.0,0.0
7615.808284923,0.0,0.0
7615.85828819,0.0,0.0
7615.918282757,0.0,0.0
7615.968289301,0.0,0.0
7616.018304864,0.0,0.0
7616.07829145,0.0,0.0
7616.128297309,0.0,0.0
7616.178298353,0.0,0.0
7616.23829618,0.0,0.0
7616.288304113,0.0,0.0
7616.338306416,0.0,0.0
7616.398303761,0.0,0.0
7616.448311935,0.0,0.0
7616.49831672,0.0,0.0
7616.558311843,0.0,0.0
7616.608322979,0.0,0.0
7616.658326079,0.0,0.0
7616.718322573,0.0,0.0
7616.768329857,0.0,0.0
7616.818331531,0.0,0.0
7616.878329191,0.0,0.0
7616.928335791,0.0,0.0
7616.978340779,0.0,0.0
7617.038337254,0.0,0.0
7617.088345687,0.0,0.0
7617.138346287,0.0,0.0
7617.198344743,0.0,0.0
7617.248351806,0.0,0.0
7617.298355572,0.0,0.0
7617.358352825,0.0,0.0
7617.40836035,0.0,0.0
7617.458363654,0.0,0.0
7617.518359518,0.0,0.0
7617.568367191,0.0,0.0
7617.61836968,0.0,0.0
7617.678366784,0.0,0.0
7617.728383717,0.0,0.0
7617.788378526,0.0,0.0
7617.838380884,0.0,0.0
7617.888385725,0.0,0.0
7617.938393491,0.0,0.0
7617.998386873,0.0,0.0
7618.04839188,0.0,0.0
7618.098395369,0.0,0.0
7618.14839632,0.0,0.0
7618.198397679,0.0,0.0
7618.258403802,0.0,0.0
7618.308405235,0.0,0.0
7618.358405353,0.0,0.0
7618.408411231,0.0,0.0
7618.468409465,0.0,0.0
7618.518415657,0.0,0.0
7618.578416021,0.0,0.0
7618.628418176,0.0,0.0
7618.678422461,0.0,0.0
7618.728426301,0.0,0.0
7618.778426456,0.0,0.0
7618.828429889,0.0,0.0
7618.888427994,0.0,0.0
7618.938434982,0.0,0.0
7618.988436397,0.0,0.0
7619.038436589,0.0,0.0
7619.088441985,0.0,0.0
