Time,RawValue
4267.221358709,0
4267.223025511,0
4267.224692258,0
4267.226358968,0
4267.228025789,0
4267.229692536,0
4267.231359302,0
4267.233026067,0
4267.234692759,16
4267.236359469,0
4267.238026197,0
4267.239692944,0
4267.241359654,0
4267.243026345,16
4267.244693166,0
4267.246359932,16
4267.248026605,32
4267.249693352,0
4267.251360025,0
4267.253026809,16
4267.2546935,0
4267.256360192,0
4267.258026902,0
4267.259693667,0
4267.261360433,0
4267.263027235,16
4267.264694001,16
4267.266360748,0
4267.26802755,0
4267.269694334,0
4267.2713611,16
4267.273027884,0
4267.274694557,0
4267.276361248,0
4267.278027977,0
4267.279694761,0
4267.281361489,0
4267.283028292,16
4267.28469502,0
4267.286361804,0
4267.28802857,0
4267.289695298,48
4267.291362027,32
4267.293028737,0
4267.294695409,0
4267.296362082,0
4267.298028792,0
4267.299695595,0
4267.301362323,16
4267.30302907,0
4267.304695854,0
4267.306362527,0
4267.308029237,0
4267.309696021,16
4267.311362842,16
4267.313029626,16
4267.314696373,0
4267.316363046,0
4267.318029756,16
4267.319696522,0
4267.321363324,0
4267.323030034,16
4267.324696744,0
4267.326363528,0
4267.328030201,0
4267.329696967,0
4267.331363788,32
4267.333030535,0
4267.334697208,16
4267.336363955,0
4267.338030627,0
4267.339697393,16
4267.341364177,0
4267.34303098,0
4267.344697726,16
4267.346364492,16
4267.348031258,16
4267.349697986,0
4267.351364807,16
4267.35303161,16
4267.354698301,0
4267.356365029,32
4267.358031702,0
4267.359698523,0
4267.361365289,16
4267.363032092,0
4267.364698801,0
4267.366365585,16
4267.36803237,0
4267.369699042,0
4267.371365863,0
4267.373032592,0
4267.374699265,32
4267.376366012,0
4267.378032759,0
4267.379699506,16
4267.381366197,0
4267.383032889,0
4267.38469971,0
4267.386366475,16
4267.388033241,0
4267.389700025,32
4267.39136679,0
4267.393033611,0
4267.394700395,16
4267.396367161,16
4267.398033834,16
4267.399700544,0
4267.401367365,0
4267.403034149,16
4267.40470097,0
4267.406367791,0
4267.408034575,0
4267.409701341,0
4267.411368106,0
4267.413034816,0
4267.414701619,16
4267.41636831,0
4267.418035131,0
4267.419701897,16
4267.421368625,0
4267.423035298,16
4267.424702082,0
4267.426368829,0
4267.428035576,16
4267.429702378,0
4267.431369144,16
4267.433035891,0
4267.434702675,0
4267.436369478,0
4267.438036169,0
4267.439702916,0
4267.441369607,0
4267.443036317,0
4267.44470312,0
4267.446369885,16
4267.448036706,16
4267.449703416,0
4267.451370089,0
4267.453036836,16
4267.454703565,0
4267.456370386,16
4267.458037096,0
4267.459703861,0
4267.461370645,0
4267.463037448,0
4267.464704139,0
4267.46637096,0
4267.468037744,0
4267.469704473,48
4267.471371201,0
4267.473038022,0
4267.474704714,0
4267.476371424,0
4267.478038245,16
4267.479704955,16
4267.481371646,16
4267.483038412,0
4267.484705196,0
4267.486371924,0
4267.48803869,0
4267.489705511,0
4267.491372239,0
4267.493038949,0
4267.494705733,0
4267.496372517,0
4267.49803919,0
4267.499705882,0
4267.501372554,0
4267.503039376,16
4267.504706048,0
4267.506372758,0
4267.508039561,0
4267.509706252,0
4267.511373036,16
4267.513039857,0
4267.514706642,0
4267.516373407,16
4267.518040135,0
4267.519706827,0
4267.521373537,0
4267.523040284,16
4267.524706994,0
4267.526373796,0
4267.528040469,0
4267.529707235,0
4267.531373926,0
4267.533040599,0
4267.534707272,16
4267.536374075,0
4267.538040822,0
4267.539707494,0
4267.541374223,0
4267.543040951,0
4267.544707643,0
4267.546374408,0
4267.548041155,16
4267.549707902,0
4267.551374668,0
4267.553041433,16
4267.554708106,16
4267.556374798,0
4267.558041489,0
4267.559708181,0
4267.561375002,16
4267.563041749,0
4267.564708551,0
4267.566375224,0
4267.568041916,0
4267.569708737,0
4267.571375576,0
4267.573042286,0
4267.574708959,0
4267.57637565,16
4267.578042416,0
4267.579709163,0
4267.581375965,0
4267.583042694,0
4267.584709478,0
4267.586376281,0
4267.588043028,0
4267.589709737,0
4267.591376521,0
4267.593043343,16
4267.594710145,16
4267.596376855,0
4267.598043602,0
4267.599710312,32
4267.601377133,16
4267.603043954,0
4267.604710646,0
4267.606377411,16
4267.608044121,16
4267.609710887,0
4267.611377689,0
4267.613044473,0
4267.614711276,0
4267.616378004,0
4267.618044788,0
4267.619711572,0
4267.621378282,0
4267.623044974,0
4267.624711758,16
4267.62637856,0
4267.628045344,0
4267.629712165,0
