Time,Data1,Data2
5.181549,0.0,0.0
5.201703,0.0,0.0
5.222233,0.0,0.0
5.242386,0.0,0.0
5.262641,0.0,0.0
5.282832,0.0,0.0
5.303092,0.0,0.0
5.323452,0.0,0.0
5.343684,0.0,0.0
5.36384,0.0,0.0
5.384122,0.0,0.0
5.404431,0.0,0.0
5.424786,0.0,0.0
5.445033,0.0,0.0
5.465186,0.0,0.0
5.485474,0.0,0.0
5.505624,0.0,0.0
5.526075,0.0,0.0
5.546236,0.0,0.0
5.56647,0.0,0.0
5.586646,0.0,0.0
5.606908,0.0,0.0
5.627253,0.0,0.0
5.647401,0.0,0.0
5.667561,0.0,0.0
5.687748,0.0,0.0
5.707919,0.0,0.0
5.728286,0.0,0.0
5.748551,0.0,0.0
5.768707,0.0,0.0
5.788994,0.0,0.0
5.80913,0.0,0.0
5.829553,0.0,0.0
5.849719,0.0,0.0
5.869989,0.0,0.0
5.890174,0.0,0.0
5.910324,0.0,0.0
5.930634,0.0,0.0
5.950895,0.0,0.0
5.971059,0.0,0.0
5.991314,0.0,0.0
6.011475,0.0,0.0
6.031912,0.0,0.0
6.052173,0.0,0.0
6.07238,0.0,0.0
6.092517,0.0,0.0
6.112676,0.0,0.0
6.133128,0.0,0.0
6.153303,0.0,0.0
6.173555,0.0,0.0
6.193771,0.0,0.0
6.213983,0.0,0.0
6.234379,0.0,0.0
6.25464,0.0,0.0
6.274808,0.0,0.0
6.295112,0.0,0.0
6.315376,0.0,0.0
6.33584,0.0,0.0
6.355998,0.0,0.0
6.376167,0.0,0.0
6.396355,0.0,0.0
6.416517,0.0,0.0
6.436979,0.0,0.0
6.45714,0.0,0.0
6.477294,0.0,0.0
6.49748,0.0,0.0
6.51781,0.0,0.0
6.538149,0.0,0.0
6.558304,0.0,0.0
6.578452,0.0,0.0
6.598804,0.0,0.0
6.61904,0.0,0.0
6.639591,0.0,0.0
6.659921,0.0,0.0
6.680029,0.0,0.0
6.700372,0.0,0.0
6.720547,0.0,0.0
6.740886,0.0,0.0
6.761034,0.0,0.0
6.781193,0.0,0.0
6.801372,0.0,0.0
6.821615,0.0,0.0
6.841923,0.0,0.0
6.862085,0.0,0.0
6.882239,0.0,0.0
6.902537,0.0,0.0
6.922696,0.0,0.0
6.943095,0.0,0.0
6.963252,0.0,0.0
6.983504,0.0,0.0
7.003805,0.0,0.0
7.023951,0.0,0.0
