Time,Data
23.778889,11.98
23.790202,5.52
23.795091,12.78
23.803412,7.51
23.811799,7.45
23.823349,5.41
23.831082,8.08
23.836747,11.03
23.846219,6.6
23.852969,9.26
23.861046,7.74
23.869315,7.56
23.880604,5.54
23.888837,7.59
23.895098,9.98
23.902504,8.44
23.910269,8.05
23.921636,5.5
23.926746,12.23
23.93494,7.63
23.943129,7.63
23.954754,5.38
23.963027,7.56
23.968183,12.12
23.976456,7.56
23.986839,6.02
23.992849,10.4
24.004166,5.52
24.012706,7.32
24.020679,7.84
24.025638,12.6
24.037339,5.34
24.044512,8.71
24.050833,9.89
24.05877,7.87
24.067169,7.44
24.075214,7.77
24.086731,5.43
24.095303,7.29
24.103363,7.75
24.108671,11.77
24.116882,7.61
24.125041,7.66
24.133435,7.45
24.144617,5.59
24.152981,7.47
24.161381,7.44
24.169251,7.94
24.174913,11.04
24.186125,5.57
24.191564,11.49
24.200014,7.4
24.208208,7.63
24.219704,5.44
24.228157,7.39
24.236398,7.58
24.242464,10.3
24.249896,8.41
24.258203,7.52
24.266482,7.55
24.277792,5.53
24.286003,7.61
24.294044,7.77
24.302297,7.57
24.307556,11.88
24.315529,7.84
24.323724,7.63
24.332001,7.55
24.339967,7.85
24.348526,7.3
24.359716,5.59
24.367929,7.61
24.37481,9.08
24.381185,9.8
24.389304,7.7
24.397462,7.66
24.408862,5.48
24.417037,7.65
24.422931,10.6
24.433239,6.06
24.438616,11.62
24.449356,5.82
24.454277,12.7
24.462622,7.49
24.470254,8.19
24.481585,5.52
24.489759,7.65
24.497631,7.94
24.504371,9.27
24.510802,9.72
24.518757,7.86
24.526692,7.88
24.537588,5.74
24.54555,7.85
24.5515,10.5
24.55894,8.4
24.566397,8.38
24.574006,8.21
24.582075,7.75
24.589927,7.96
24.597829,7.91
24.608682,5.76
24.616693,7.8
24.624431,8.08
24.632121,8.13
24.63736,11.93
24.645074,8.1
24.652781,8.11
24.663433,5.87
24.671113,8.14
24.676391,11.84
24.686794,6.01
24.691601,13.0
24.698953,8.5
24.706602,8.17
24.71439,8.02
24.722089,8.11
24.732772,5.85
24.74047,8.11
24.748007,8.28
24.755588,8.24
24.760381,13.04
24.767898,8.31
24.775299,8.44
24.783873,7.29
24.793759,6.32
24.798831,12.32
24.805736,9.05
24.813758,7.79
24.821093,8.52
24.82856,8.36
24.836158,8.23
24.843685,8.3
24.85151,7.99
24.861969,5.98
24.869961,7.82
24.877024,8.85
24.881888,12.85
24.889195,8.55
24.896755,8.27
24.907337,5.91
24.914749,8.43
24.91993,12.06
24.927385,8.38
24.935116,8.08
24.941562,9.69
24.948764,8.68
24.958925,6.15
24.963732,13.0
24.971547,8.0
24.978277,9.28
24.988706,5.99
24.995928,8.65
25.000329,14.2
25.007463,8.76
25.01477,8.55
25.025155,6.02
25.032472,8.53
25.039614,8.75
25.046791,8.71
25.054032,8.63
25.061459,8.41
25.065943,13.94
25.073556,8.21
25.080123,9.52
25.090462,6.04
25.095331,12.84
25.105096,6.4
25.11111,10.39
25.116627,11.33
25.123699,8.84
25.130822,8.77
25.138139,8.53
25.148067,6.29
25.153406,11.71
25.159578,10.13
25.167119,8.28
25.17624,6.85
25.180656,14.15
25.187738,8.82
25.194601,9.11
25.201985,8.46
25.209171,8.69
25.218819,6.48
25.223343,13.82
25.230232,9.07
25.237019,9.21
25.243814,9.19
25.25115,8.52
25.258485,8.52
25.265267,9.22
25.272336,8.84
25.279502,8.72
25.286303,9.19
25.293373,8.84
25.300299,9.02
25.307237,9.01
25.314275,8.88
25.321287,8.91
25.331097,6.37
25.338098,8.93
25.345187,8.82
25.349663,13.96
25.356465,9.19
25.363438,8.96
25.370485,8.86
25.377604,8.77
25.384418,9.17
25.391813,8.44
25.398673,9.11
25.40555,9.09
25.412389,9.14
25.419624,8.64
25.426674,8.86
25.43383,8.73
25.440955,8.77
25.450887,6.29
25.457774,9.08
25.464688,9.03
25.471901,8.67
25.476389,13.93
25.483513,8.77
25.490512,8.93
25.497749,8.64
25.507383,6.49
25.512262,12.81
25.519207,9.0
25.526216,8.92
25.533222,8.92
25.540282,8.85
25.547363,8.83
25.554721,8.49
25.56497,6.1
25.572118,8.74
25.579219,8.8
25.586376,8.73
25.591214,12.92
25.598599,8.46
25.605864,8.6
25.613202,8.52
25.620515,8.55
25.630217,6.44
25.634892,13.37
25.642534,8.18
25.649778,8.63
25.657077,8.56
