Timestamp (s),Potentiometer Raw Value
0.547208,26448
0.547997,26480
0.548789,26464
0.549596,26480
0.550387,26464
0.551371,26480
0.552484,26464
0.553354,26464
0.554168,26480
0.554969,26448
0.555766,26464
0.556563,26464
0.557358,26432
0.558152,26416
0.558960,26384
0.559809,26336
0.560682,26336
0.561915,26288
0.562879,26256
0.563702,26224
0.564504,26208
0.565301,26144
0.566099,26128
0.566896,26080
0.567715,26048
0.568532,26016
0.569340,25936
0.570155,25936
0.571087,25904
0.572177,25808
0.573032,25808
0.573886,25776
0.574764,25712
0.575597,25696
0.576440,25632
0.577277,25600
0.578123,25520
0.578954,25504
0.579794,25424
0.580627,25376
0.581471,25344
0.582302,25296
0.583107,25248
0.583973,25184
0.584814,25120
0.585659,25072
0.586490,25024
0.587703,24928
0.588628,24880
0.589509,24816
0.590338,24752
0.591210,24688
0.592082,24640
0.592983,24592
0.593790,24528
0.594582,24480
0.595374,24416
0.596166,24336
0.596957,24288
0.597749,24208
0.598558,24176
0.599363,24080
0.600191,24048
0.601053,24000
0.601866,23888
0.602683,23856
0.603580,23776
0.604570,23712
0.605495,23632
0.606336,23568
0.607180,23520
0.608013,23440
0.608858,23392
0.609689,23312
0.610532,23232
0.611361,23184
0.612205,23104
0.613036,23056
0.613873,22960
0.614711,22896
0.615556,22816
0.616390,22736
0.617277,22672
0.618302,22576
0.619430,22496
0.620329,22416
0.621138,22352
0.622006,22288
0.623086,22176
0.624009,22080
0.624850,22032
0.625665,21968
0.626475,21904
0.627267,21824
0.628072,21760
0.628881,21680
0.629672,21616
0.630477,21552
0.631268,21472
0.632099,21392
0.632917,21328
0.633732,21264
0.634550,21184
0.635371,21120
0.636393,21008
0.637229,20976
0.638056,20896
0.638854,20832
0.639653,20752
0.640469,20688
0.641277,20624
0.642086,20544
0.642958,20448
0.644428,20368
0.645335,20272
0.646162,20176
0.646968,20128
0.647766,20016
0.648580,19968
0.649383,19872
0.650182,19824
0.650977,19744
0.651771,19680
0.652567,19600
0.653375,19536
0.654307,19440
0.655289,19344
0.656261,19264
0.657122,19184
0.657942,19136
0.658737,19056
0.659548,18976
0.660341,18880
0.661150,18800
0.661942,18736
0.662751,18656
0.663558,18592
0.664377,18512
0.665200,18448
0.666014,18352
0.666835,18240
0.667655,18176
0.668622,18080
0.669455,17984
0.670400,17920
0.671291,17824
0.672119,17744
0.672923,17680
0.673717,17616
0.674525,17520
0.675333,17456
0.676124,17376
0.676917,17312
0.677709,17200
0.678517,17136
0.679327,17072
0.680136,16960
0.680955,16896
0.681749,16832
0.682537,16752
0.683483,16656
0.684315,16592
0.685204,16480
0.686086,16400
0.686978,16336
0.687786,16256
0.688587,16176
0.689380,16128
0.690175,16016
0.690968,15920
0.691760,15872
0.692561,15808
0.693355,15728
0.694147,15632
0.694954,15600
0.695747,15504
0.696560,15424
0.697388,15328
0.698240,15232
0.699432,15120
0.700465,15024
0.701582,14928
0.702418,14848
0.703249,14768
0.704064,14704
0.704873,14624
0.705669,14544
0.706461,14464
0.707288,14400
0.708106,14320
0.708908,14272
0.709704,14176
0.710497,14096
0.711308,14016
0.712116,13952
0.712916,13888
0.713709,13808
0.714499,13728
0.715326,13648
0.716251,13568
0.717156,13472
0.718026,13392
0.718840,13312
0.719638,13248
0.720432,13168
0.721239,13072
0.722047,13008
0.722842,12944
0.723947,12816
0.725169,12704
0.726151,12624
0.727494,12496
0.728374,12416
0.729289,12304
0.730153,12224
0.731026,12144
0.731872,12080
0.732820,11984
0.733898,11872
0.734760,11792
0.735649,11712
0.736575,11632
0.737421,11552
0.738265,11472
0.739107,11376
0.739945,11312
0.740787,11232
0.741614,11168
0.742452,11088
0.743283,11040
0.744123,10944
0.744956,10864
0.745925,10768
0.748538,10544
0.749512,10448
0.750317,10384
0.751108,10304
0.751898,10240
0.752690,10160
0.753483,10096
0.754271,10032
0.755060,9952
0.755848,9888
0.756632,9824
0.757414,9760
0.758193,9680
0.758974,9632
0.759754,9584
0.760533,9488
0.761345,9424
0.762191,9360
0.762985,9280
0.763784,9216
0.764584,9152
0.765532,9040
0.766400,9008
0.767220,8944
0.768080,8864
0.768950,8768
0.770299,8672
0.771163,8608
0.771972,8544
0.772771,8448
0.773557,8416
0.774344,8352
0.775123,8272
0.775903,8224
0.776683,8160
0.777468,8080
0.778698,7984
0.779804,7904
0.781320,7792
0.782339,7712
0.783263,7648
0.784067,7584
0.784869,7520
0.785662,7456
0.786459,7408
0.787247,7328
0.788043,7280
0.788830,7216
0.789623,7168
0.790402,7104
0.791193,7040
0.791976,6992
0.792757,6944
0.793540,6880
0.794380,6816
0.795221,6768
0.796021,6688
0.796839,6656
0.797772,6560
0.798653,6528
0.799468,6464
0.800272,6416
0.801074,6368
0.801858,6304
0.802635,6240
0.803414,6192
0.804193,6128
0.804984,6080
0.806117,6000
0.806994,5936
0.807783,5888
0.808581,5840
0.809369,5776
0.810193,5712
0.811251,5664
0.812145,5584
0.813022,5536
0.813807,5472
0.814596,5424
0.815385,5376
0.816174,5328
0.816956,5264
0.817736,5216
0.818515,5168
0.819295,5104
0.820076,5056
0.820859,5008
0.821639,4960
0.822426,4912
0.823218,4864
0.824007,4800
0.824798,4752
0.825586,4720
0.826408,4656
0.827207,4608
0.828116,4544
0.829135,4480
0.830291,4400
0.831625,4320
0.832515,4272
0.833326,4224
0.834118,4176
0.834907,4128
0.835697,4080
0.836493,4048
0.837285,3984
0.838281,3920
0.839190,3872
0.840009,3824
0.840802,3776
0.841603,3728
0.842512,3648
0.843397,3600
0.844251,3568
0.845060,3520
0.845849,3456
0.846636,3408
0.847455,3360
0.848247,3328
0.849036,3280
0.849824,3232
0.850611,3184
0.851395,3136
0.852193,3088
0.852982,3040
0.853770,3008
0.854552,2960
0.855330,2896
0.856109,2864
0.856888,2832
0.857671,2784
0.858915,2704
0.859862,2656
0.860792,2608
0.861636,2560
0.862602,2496
0.863687,2448
0.864696,2400
0.865564,2352
0.866364,2304
0.867157,2256
0.868097,2224
0.868887,2176
0.869827,2128
0.870767,2080
0.871705,2032
0.872643,1984
0.873433,1936
0.874237,1904
0.875183,1856
0.876065,1808
0.876924,1776
0.877709,1728
0.878494,1696
0.879272,1648
0.880049,1616
0.880828,1568
0.881608,1552
0.882385,1504
0.883161,1456
0.883936,1424
0.884780,1376
0.885933,1328
0.886872,1280
0.888401,1216
0.889283,1168
0.890126,1136
0.890953,1104
0.891880,1056
0.892944,1008
0.894246,944
0.895851,896
0.896715,848
0.897519,832
0.898309,800
0.899099,752
0.899888,720
0.900679,688
0.901465,656
0.902252,608
0.903031,592
0.903809,544
0.904591,528
0.905494,480
0.906446,448
0.907306,416
0.908229,384
0.909052,352
0.909858,304
0.910658,288
0.911453,256
0.912419,224
0.913230,192
0.914022,160
0.914807,128
0.915588,96
0.916367,80
0.917155,48
0.917935,32
0.918717,0
0.919496,0
0.920278,0
0.921070,0
0.921905,0
0.922760,0
0.923563,0
0.924358,0
0.925143,0
0.925930,0
0.926708,0
0.927487,0
0.928268,0
0.929049,0
0.929937,0
0.930893,0
0.931968,0
0.932799,0
0.933595,0
0.934385,0
0.935178,0
0.935977,0
0.936793,0
0.937707,0
0.938571,0
0.939417,0
0.940259,0
0.941079,0
0.942098,0
0.943126,0
0.943971,0
0.945080,0
0.945923,0
0.946792,0
0.947633,16
0.948496,0
0.949284,0
0.950071,0
0.950860,0
0.951651,0
0.952441,0
0.953226,0
0.954003,0
0.954785,0
0.955563,0
0.956431,0
0.957226,0
0.958012,0
0.958800,0
0.959582,0
0.960367,0
0.961155,0
0.961943,0
0.962724,0
0.963506,0
0.964285,0
0.965077,0
0.965864,0
0.966645,0
0.967427,0
0.968230,0
0.969142,0
0.970317,0
0.971167,0
0.971952,0
0.972898,0
0.973729,0
0.976969,0
0.977906,0
0.978757,0
0.979757,0
0.980575,0
0.981410,0
0.982228,0
0.983029,0
0.983824,0
0.984639,0
0.985436,0
0.986230,0
0.987019,0
0.987807,0
0.988750,0
0.989549,0
0.990341,0
0.991130,0
0.991917,0
0.992709,0
0.993497,16
0.994287,16
0.995224,0
0.996159,0
0.996955,0
0.997745,0
0.998685,0
0.999500,0
1.000403,0
1.001278,0
1.002129,0
1.002923,0
1.003720,0
1.004511,0
1.005324,0
1.006130,0
1.006927,0
1.007725,0
1.008527,0
1.009532,0
1.010349,16
1.011139,0
1.012078,0
1.012865,0
1.013804,0
1.014592,0
1.015530,0
1.016324,16
1.017112,0
1.017899,0
1.018834,0
1.019774,0
1.020713,0
1.021496,0
1.022433,0
1.023368,0
1.024313,0
1.025101,0
1.026036,0
1.026975,0
1.027913,0
1.028854,0
1.029795,0
1.030602,0
1.031494,0
1.032375,0
1.033223,0
1.034016,0
1.034804,0
1.035599,0
1.036383,0
1.037179,0
1.037994,0
1.038794,0
1.039593,0
1.040390,0
1.041281,0
1.042212,0
1.043023,0
1.043811,0
1.044747,0
1.045685,0
1.046624,0
1.047562,0
1.048502,0
1.049289,0
1.050226,0
1.051164,0
1.052101,0
1.052890,16
1.053676,0
1.054470,0
1.055258,0
1.056199,0
1.057131,0
1.057917,0
1.058708,0
1.059492,0
1.060431,0
1.061223,0
1.062019,0
1.062919,0
1.063791,0
1.064626,0
1.065415,0
1.066207,0
1.066998,0
1.067785,0
1.068580,0
1.069363,0
1.070161,0
1.070966,0
1.071765,16
1.072569,0
1.073363,0
1.074194,0
1.075000,0
1.075787,0
1.076728,0
1.077669,0
1.078610,0
1.079549,0
1.080337,0
1.081187,0
1.082029,0
1.082847,0
1.083680,0
1.084505,0
1.085303,16
1.086153,0
1.086971,0
1.087803,0
1.088619,0
1.089455,0
1.090272,0
1.091107,0
1.091928,0
1.092865,0
1.095546,0
1.096491,0
1.097345,0
1.098332,0
1.099167,0
1.099989,0
1.100832,0
1.101651,0
1.102506,0
1.103314,0
1.104165,0
1.105003,0
1.106008,0
1.107027,0
1.107862,0
1.108702,0
1.109504,0
1.110349,0
1.111166,0
1.112004,0
1.112826,0
1.113660,0
1.114472,0
1.115304,0
1.116124,0
1.116972,0
1.117778,0
1.118624,0
1.119445,0
1.120278,0
1.121111,0
1.121985,0
1.122802,0
1.123636,0
1.124476,0
1.125730,0
1.126662,0
1.127719,0
1.128752,0
1.129598,0
1.130499,0
1.131320,0
1.132159,0
1.132978,0
1.133819,0
1.134638,0
1.135497,0
1.136338,0
1.137193,0
1.138112,0
1.139128,16
1.139959,0
1.140983,0
1.141800,16
1.142631,0
1.143447,0
1.144279,0
1.145098,0
1.145930,0
1.146742,0
1.147574,0
1.148393,0
1.149227,0
1.150031,0
1.150877,0
1.151690,0
1.152531,0
1.153350,16
1.154189,0
1.155009,0
1.155949,0
1.158691,0
1.159587,0
1.160446,0
1.161267,0
1.162105,0
1.162925,0
1.163761,0
1.164580,0
1.165415,0
1.166232,0
1.167098,0
1.167929,16
1.168783,0
1.169616,0
1.170425,0
1.171366,0
1.172207,16
1.173061,0
1.173876,0
1.174716,0
1.175530,0
1.176366,0
1.177179,0
1.178010,0
1.178823,0
1.179655,0
1.180474,0
1.181309,0
1.182129,0
1.182968,0
1.183929,0
1.184767,0
1.185584,0
1.186418,0
1.187265,0
1.188729,0
1.189638,0
1.190537,0
1.191412,0
1.192211,0
1.193002,0
1.193790,0
1.194580,0
1.195361,0
1.196144,16
1.196937,0
1.197726,0
1.198514,0
1.199312,0
1.200112,0
1.200903,0
1.201698,0
1.202494,0
1.203539,0
1.204409,0
1.205209,0
1.205994,0
1.206771,0
1.207551,0
1.208328,0
1.209106,0
1.209884,0
1.210666,0
1.211442,0
1.212221,0
1.213017,0
1.213808,0
1.214596,0
1.215384,0
1.216164,0
1.216946,0
1.217734,0
1.218513,0
1.219293,0
1.220086,0
1.221003,0
1.221938,0
1.222843,0
1.223645,0
1.224443,0
1.225239,0
1.226031,0
1.226816,0
1.227608,0
1.228398,0
1.229191,0
1.229979,0
1.230772,0
1.231577,0
1.232368,0
1.233149,0
1.233940,0
1.234733,0
1.235684,0
1.236603,0
1.237489,0
1.238293,0
1.239084,0
1.239940,0
1.240743,0
1.241531,0
1.242318,0
1.243097,0
1.243874,0
1.244657,0
1.245445,0
1.246233,0
1.247014,0
1.247976,0
1.248787,0
1.249577,0
1.250367,0
1.251175,0
1.252068,0
1.253389,0
1.254208,0
1.254996,16
1.255786,0
1.256576,0
1.257355,0
1.258137,0
1.258919,0
1.259700,0
1.260489,0
1.261269,0
1.262048,0
1.262828,0
1.263860,0
1.265678,0
1.267739,0
1.268926,0
1.270023,0
1.272424,0
1.273634,0
1.274540,0
1.275366,0
1.276171,0
1.276981,0
1.277783,16
1.278582,0
1.279381,0
1.280179,0
1.281091,0
1.281904,0
1.282717,0
1.283577,0
1.284455,0
1.285566,0
1.286386,0
1.287182,0
1.287976,0
1.288790,0
1.289582,0
1.290376,0
1.291167,0
1.291958,0
1.292807,0
1.293630,0
1.294425,0
1.295219,16
1.296012,32
1.296803,64
1.297687,96
1.300432,192
1.301520,240
1.302400,272
1.304111,336
1.305118,384
1.305957,400
1.306749,432
1.307535,464
1.308328,496
1.309116,528
1.309902,560
1.310688,592
1.311467,624
1.312246,672
1.313184,704
1.314016,736
1.314900,800
1.315762,832
1.317033,896
1.317842,944
1.318624,976
1.319410,1024
1.320198,1056
1.320983,1088
1.321772,1136
1.322563,1168
1.323349,1216
1.324137,1248
1.324931,1296
1.325719,1344
1.326507,1392
1.327294,1440
1.328082,1472
1.328869,1504
1.329984,1568
1.330817,1616
1.331628,1664
1.332428,1712
1.333224,1760
1.334279,1824
1.335137,1856
1.335933,1920
1.336721,1968
1.337507,2000
1.339737,2144
1.341329,2240
1.342815,2320
1.343714,2384
1.344539,2432
1.345849,2512
1.346835,2576
1.348367,2672
1.349308,2736
1.350208,2784
1.351028,2832
1.351822,2880
1.352630,2928
1.353432,2992
1.354231,3040
1.355029,3088
1.355826,3152
1.356629,3184
1.357428,3248
1.358417,3312
1.359211,3360
1.360003,3408
1.360800,3456
1.361595,3504
1.362411,3552
1.363231,3616
1.364037,3664
1.364848,3712
1.365656,3776
1.366755,3840
1.367637,3904
1.369835,4048
1.370838,4112
1.371696,4160
1.372517,4208
1.373351,4272
1.374154,4320
1.374998,4384
1.375816,4432
