Time,RawValue1,RawValue2
0.728799,16272,26416
0.73047,16240,26384
0.732141,16224,26432
0.733809,16240,26384
0.73548,16208,26416
0.737149,16240,26448
0.738817,16208,26464
0.740609,16240,26416
0.742279,16224,26432
0.743949,16256,26464
0.745616,16272,26416
0.747283,16240,26432
0.748955,16240,26432
0.750622,16240,26432
0.752293,16240,26448
0.753962,16256,26400
0.755629,16208,26416
0.75745,16272,26432
0.759117,16240,26448
0.760785,16256,26416
0.762454,16240,26400
0.764121,16240,26464
0.76579,16208,26448
0.767459,16240,26368
0.769127,16256,26448
0.770795,16240,26416
0.772464,16256,26432
0.774256,16272,26416
0.775924,16256,26416
0.777592,16272,26480
0.779261,16240,26416
0.780929,16256,26464
0.7826,16224,26416
0.784266,16224,26432
0.785936,16224,26432
0.787606,16240,26432
0.789276,16256,26448
0.791065,16256,26416
0.792736,16256,26432
0.794403,16256,26448
0.796072,16240,26432
0.797743,16240,26384
0.799411,16224,26448
0.801081,16240,26416
0.80275,16208,26432
0.804421,16240,26448
0.806091,16224,26432
0.807912,16256,26432
0.809581,16240,26432
0.811249,16224,26432
0.812924,16240,26432
0.814591,16240,26416
0.81626,16240,26432
0.817927,16224,26416
0.819595,16208,26432
0.821265,16240,26432
0.822934,16272,26416
0.824724,16256,26416
0.826392,16256,26480
0.82806,16240,26432
0.829727,16256,26432
0.831398,16256,26416
0.833069,16240,26448
0.834736,16208,26416
0.836404,16208,26416
0.838072,16240,26432
0.839742,16192,26400
0.841533,16272,26448
0.843203,16192,26432
0.844874,16240,26432
0.846542,16192,26432
0.848209,16256,26400
0.84988,16240,26432
0.851549,16224,26400
0.85322,16256,26416
0.85489,16256,26400
0.856557,16224,26368
0.858384,16256,26320
0.860055,16272,26320
0.861724,16256,26272
0.863394,16256,26176
0.865063,16240,26208
0.866732,16256,26160
0.8684,16256,26080
0.870069,16272,26032
0.871738,16208,25968
0.873406,16256,25936
0.875207,16224,25888
0.876875,16224,25824
0.878546,16224,25776
0.880214,16256,25744
0.881885,16272,25648
0.883553,16256,25648
0.885221,16272,25552
0.886888,16256,25536
0.888558,16224,25504
0.890228,16256,25488
0.892024,16256,25376
0.893692,16240,25328
0.895363,16272,25280
0.89703,16256,25216
0.898698,16256,25168
0.900364,16256,25136
0.902032,16272,25072
0.903699,16256,25008
0.905368,16256,24960
0.907035,16256,24912
0.908866,16288,24864
0.910533,16256,24784
0.9122,16208,24720
0.91387,16224,24656
0.91554,16192,24560
0.91721,16256,24480
0.918878,16208,24480
0.920547,16272,24416
0.922215,16256,24304
0.923884,16240,24272
0.925683,16256,24160
0.927352,16240,24080
0.929023,16240,24000
0.930691,16224,23936
0.932362,16240,23872
0.934031,16240,23760
0.935702,16224,23712
0.93737,16256,23632
0.939037,16224,23552
0.940705,16256,23456
0.942507,16272,23376
0.944178,16240,23328
0.945847,16256,23248
0.947516,16256,23168
0.949186,16224,23104
0.950853,16272,23040
0.952523,16240,22960
0.954192,16256,22880
0.955861,16256,22816
0.95753,16272,22752
0.959364,16256,22656
0.961034,16256,22592
0.962705,16224,22512
0.964376,16256,22400
0.966044,16256,22368
0.967713,16240,22288
0.969383,16256,22240
0.971051,16256,22144
0.97272,16224,22096
0.974387,16240,22032
0.976181,16224,21968
0.97785,16224,21872
0.979521,16240,21824
0.981189,16240,21744
0.982858,16240,21744
0.984528,16256,21648
0.986195,16272,21600
0.987865,16208,21536
0.989535,16208,21520
0.991204,16224,21456
0.993,16256,21360
0.994668,16240,21296
0.996338,16224,21296
0.998005,16256,21232
0.999673,16240,21168
1.001342,16224,21120
1.003012,16272,21072
1.004683,16256,21056
1.00635,16224,20976
1.008018,16224,20960
1.009848,16256,20880
1.011516,16224,20864
1.013185,16192,20784
1.014852,16208,20736
1.01652,16224,20704
1.018189,16224,20688
1.01986,16224,20624
1.021528,16208,20608
1.023198,16240,20560
1.024864,16224,20496
1.026659,16256,20496
1.028327,16240,20480
1.029998,16272,20464
1.031666,16240,20448
1.033334,16240,20400
1.035004,16256,20400
1.036672,16256,20336
1.038343,16224,20352
1.040014,16256,20368
1.041682,16272,20336
1.043477,16256,20304
1.045147,16256,20336
1.046813,16272,20336
1.048484,16208,20336
1.050152,16208,20336
1.051819,16240,20336
1.053486,16240,20320
1.055155,16256,20336
1.056824,16256,20320
1.058491,16176,20304
1.060308,16256,20304
1.061975,16192,20336
1.063643,16240,20336
1.065311,16192,20320
1.066978,16192,20288
1.068648,16208,20320
1.070315,16240,20304
1.071985,16256,20352
1.073655,16208,20352
1.075323,16224,20368
1.077115,16224,20352
1.078782,16256,20400
1.080452,16256,20400
1.082122,16240,20400
1.083792,16224,20448
1.085459,16224,20464
1.087128,16240,20480
1.088796,16272,20496
1.090464,16240,20528
1.092132,16272,20592
1.093938,16256,20608
1.095605,16240,20624
1.097276,16240,20704
1.098946,16224,20736
1.100616,16240,20784
1.102284,16224,20832
1.103953,16224,20880
1.105621,16240,20960
1.107289,16240,21008
1.108959,16240,21056
1.110781,16240,21088
1.112448,16256,21232
1.114119,16224,21264
1.115786,16224,21344
1.117453,16208,21408
1.119125,16208,21472
1.120795,16240,21552
1.122462,16208,21632
1.12413,16224,21664
1.125797,16256,21776
1.127584,16256,21872
1.129253,16224,21936
1.13092,16224,22032
1.132588,16160,22112
1.134256,16256,22160
1.135925,16240,22272
1.137596,16256,22336
1.139265,16256,22432
1.140934,16272,22496
1.142604,16272,22560
1.144414,16224,22672
1.146085,16256,22768
1.147754,16224,22832
1.149423,16192,22944
1.151091,16272,23008
1.152762,16256,23104
1.154431,16256,23184
1.156101,16208,23232
1.157771,16240,23328
1.159441,16192,23344
1.161262,16256,23472
1.162933,16224,23584
1.164604,16272,23632
1.166273,16208,23696
1.167943,16224,23824
1.169614,16240,23872
1.171282,16272,23936
1.172952,16240,24016
1.174619,16240,24080
1.17629,16256,24160
1.178086,16224,24240
1.179755,16256,24288
1.181424,16240,24384
1.183094,16240,24480
1.184763,16256,24528
1.186432,16240,24576
1.188102,16192,24624
1.18977,16240,24720
1.19144,16240,24816
1.193109,16192,24848
1.194899,16256,24944
1.196567,16256,24992
1.198234,16208,25056
1.199905,16256,25104
1.201573,16224,25168
1.203241,16256,25232
1.204909,16256,25296
1.206577,16256,25328
1.208246,16224,25376
1.209916,16240,25440
1.211743,16272,25488
1.213414,16224,25520
1.215081,16240,25552
1.21675,16224,25616
1.218418,16256,25648
1.220089,16240,25664
1.221759,16272,25696
1.223427,16240,25680
1.225094,16240,25712
1.226764,16256,25744
1.228563,16256,25744
1.230232,16256,25760
1.231899,16272,25728
1.233571,16272,25792
1.235239,16240,25776
1.236906,16256,25776
1.238574,16272,25776
1.240241,16208,25760
1.241911,16240,25760
1.243581,16272,25776
1.24538,16224,25776
1.24705,16192,25744
1.248719,16240,25776
1.250389,16240,25760
1.252059,16256,25776
1.253726,16256,25776
1.255397,16224,25792
1.257066,16256,25760
1.258734,16224,25760
1.260401,16224,25760
1.262241,16240,25760
1.263909,16256,25744
1.26558,16272,25712
1.267246,16208,25728
1.268915,16256,25696
1.270582,16224,25696
1.272252,16272,25664
1.273923,16272,25648
1.275591,16224,25616
1.27726,16192,25600
1.279047,16240,25536
1.280716,16256,25504
1.282385,16256,25456
1.284055,16240,25424
1.285724,16208,25344
1.287392,16240,25312
