Time,Frequency
0.036785,1.699
0.049806,1.2549
0.040579,1.5402
0.056128,1.1135
0.048118,1.2989
0.062547,0.9992
0.0411,1.5207
0.053184,1.1752
0.039391,1.5866
0.049967,1.2508
0.03918,1.5952
0.051933,1.2035
0.041662,1.5002
0.055059,1.1351
0.043337,1.4422
0.051868,1.205
0.040481,1.5439
0.053221,1.1744
0.040459,1.5448
0.050302,1.2425
0.039241,1.5927
0.051882,1.2047
0.039255,1.5922
0.050143,1.2464
0.038132,1.6391
0.049733,1.2567
0.037823,1.6524
0.048518,1.2882
0.038503,1.6232
0.050647,1.234
0.040155,1.5564
0.052802,1.1837
0.041258,1.5148
0.051745,1.2078
0.039332,1.589
0.050667,1.2335
0.039789,1.5708
0.050072,1.2482
0.03862,1.6183
0.050645,1.2341
0.039277,1.5913
0.052643,1.1872
0.036233,1.7249
0.050479,1.2382
0.040136,1.5572
0.052068,1.2003
0.039554,1.5801
0.050717,1.2323
0.039212,1.5939
0.050026,1.2493
0.038077,1.6414
0.048392,1.2915
0.038432,1.6262
0.050192,1.2452
0.038459,1.6251
0.050958,1.2265
0.039343,1.5886
0.049801,1.255
0.03895,1.6046
0.050928,1.2272
0.040021,1.5617
0.051931,1.2035
0.039854,1.5682
0.050183,1.2454
0.039561,1.5798
0.052407,1.1926
0.040072,1.5597
0.048852,1.2794
0.038583,1.6199
0.050629,1.2345
0.039224,1.5934
0.051241,1.2197
0.039475,1.5833
0.052304,1.1949
0.041074,1.5217
0.052996,1.1793
0.040784,1.5325
0.052163,1.1982
0.039562,1.5798
0.051617,1.2108
0.040418,1.5463
0.050693,1.2329
0.039802,1.5703
0.051457,1.2146
0.038782,1.6116
0.050454,1.2388
0.038944,1.6049
0.051381,1.2164
0.038271,1.6331
0.049403,1.2651
0.039017,1.6019
0.051114,1.2228
0.040151,1.5566
0.052481,1.1909
0.04108,1.5214
0.052233,1.1966
0.038962,1.6041
0.051004,1.2254
0.039893,1.5667
0.049323,1.2671
0.038732,1.6136
0.050694,1.2329
0.038731,1.6137
0.050738,1.2318
0.039972,1.5636
0.050115,1.2471
0.038494,1.6236
0.050749,1.2316
0.040166,1.556
0.052439,1.1919
0.040762,1.5333
0.05032,1.2421
0.03857,1.6204
0.051208,1.2205
0.03923,1.5932
0.049733,1.2567
0.038032,1.6433
0.050206,1.2449
0.039204,1.5942
0.052227,1.1967
0.041174,1.5179
0.052552,1.1893
0.038517,1.6227
0.050598,1.2352
0.040197,1.5548
0.052788,1.184
0.041755,1.4968
0.05339,1.1706
0.040123,1.5577
0.052306,1.1949
0.041364,1.511
0.051105,1.223
0.039069,1.5997
0.05147,1.2143
0.039339,1.5888
0.051047,1.2244
0.039162,1.596
0.051686,1.2092
0.040761,1.5333
0.05238,1.1932
0.04148,1.5067
0.054044,1.1565
0.04272,1.463
0.054372,1.1495
0.040997,1.5245
0.053755,1.1627
0.04077,1.533
0.050488,1.2379
0.040108,1.5583
0.052559,1.1891
0.040053,1.5604
0.05216,1.1982
0.039983,1.5632
0.050036,1.2491
0.039353,1.5882
0.050991,1.2257
0.03952,1.5815
0.050275,1.2432
0.039083,1.5992
0.050578,1.2357
0.039496,1.5824
0.052115,1.1993
0.040844,1.5302
0.05061,1.2349
0.038975,1.6036
0.051473,1.2142
0.040556,1.5411
0.053013,1.1789
0.03849,1.6238
0.050625,1.2346
0.039758,1.572
0.051239,1.2198
0.039982,1.5632
0.051748,1.2078
0.038745,1.6131
0.050243,1.244
0.039817,1.5697
0.0523,1.195
0.040846,1.5301
0.050017,1.2496
0.039447,1.5844
0.051905,1.2041
0.039689,1.5747
0.051492,1.2138
0.039834,1.569
0.052423,1.1922
0.041076,1.5216
0.052536,1.1897
0.041513,1.5056
0.053612,1.1658
0.040591,1.5398
0.049993,1.2502
